AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,840108,_. ______,Bang Sai,8401,_. _________________,Mueang Surat Thani,84,_. ____________,Surat Thani,9.188,99.300
4,150206,_. ____,Chaiyo,1502,_. ____,Chaiyo,15,_. _______,Ang Thong,14.707,100.436
4,200511,_. ______,Bang Hak,2005,_. ______,Phan Thong,20,_. ______,Chon Buri,13.544,101.075
4,800114,_. ____________,Mamuang Song Ton,8001,_. __________________,Mueang Nakhon Si Thammarat,80,_. _____________,Nakhon Si Thammarat,8.397,99.952
4,740108,_. ______,Tha Chin,7401,_. ______________,Mueang Samut Sakhon,74,_. _________,Samut Sakhon,13.539,100.252
4,191004,_. _______,Ngio Ngam,1910,_. ______,Sao Hai,19,_. _______,Saraburi,14.590,100.851
4,140707,_. ______,Han Sang,1407,_. ________,Bang Pahan,14,_. _______________,Phra Nakhon Si Ayutthaya,14.512,100.517
4,540115,_. ________,Thung Kwao,5401,_. _________,Mueang Phrae,54,_. ____,Phrae,18.165,100.154
4,501402,_. ___________,San Sai Noi,5014,_. _______,San Sai,50,_. _________,Chiang Mai,18.819,99.024
4,950110,_. _______,Na Tham,9501,_. _________,Mueang Yala,95,_. ____,Yala,6.525,101.225
4,801901,_. __________,Ban Khuan Mut,8019,_. ________,Chulabhorn,80,_. _____________,Nakhon Si Thammarat,8.028,99.924
4,190301,_. ______,Nong Khae,1903,_. ______,Nong Khae,19,_. _______,Saraburi,14.337,100.869
4,500511,_. ___________,Mae Hoi Ngoen,5005,_. _________,Doi Saket,50,_. _________,Chiang Mai,18.805,99.149
4,940513,_. _____,Pa Nan,9405,_. ____,Mayo,94,_. _______,Pattani,6.721,101.334
4,910101,_. _____,Phiman,9101,_. _________,Mueang Satun,91,_. ____,Satun,6.615,100.071
4,150106,_. ________,Talat Kruat,1501,_. ____________,Mueang Ang Thong,15,_. _______,Ang Thong,14.619,100.478
4,120108,_. ________,Bang Krang,1201,_. ____________,Mueang Nonthaburi,12,_. _______,Nonthaburi,13.835,100.438
4,150613,_. ________,Hua Taphan,1506,_. ___________,Wiset Chai Chan,15,_. _______,Ang Thong,14.583,100.387
4,900204,_. ______,Di Luang,9002,_. _______,Sathing Phra,90,_. _____,Songkhla,7.580,100.406
4,730306,_. _________,Tha Krachap,7303,_. _________,Nakhon Chai Si,73,_. ______,Nakhon Pathom,13.760,100.155
4,150207,_. _______,Lak Fa,1502,_. ____,Chaiyo,15,_. _______,Ang Thong,14.684,100.462
